ID,Tweet,Created_at,Location,Geo_coordinates,Followers_for_the_user,Friends,Sentiment_analysis
1070802679142735872,"RT @HillReporter: Trump 2020 Campaign Has Funneled Over $1 Million To His Businesses, New Report Claims https://t.co/NjuOyNmKI0",2018-12-06 22:10:27,"Pennsylvania, USA",None,53,300,0.13636363636363635
1070802679193104384,"RT @RightHook99: HOLY TRUMP CURSE: French Parliament is now taking the first steps needed to OUST Macron from power.

WATCH: Remember when…",2018-12-06 22:10:27,Michigan,None,528,680,0.125
1070802679033708545,"RT @EdKrassen: BREAKING:  Nancy Pelosi just stood up to Trump, telling him that she will not give him his stupid wall.

Nancy Pelosi's spin…",2018-12-06 22:10:27,,None,893,1879,-0.7999999999999999
1070802679172087813,"RT @aliasvaughn: ATTENTION PLEASE: what we always knew, the illegal coordination between Trump campaign and NRA, is now proven by documents…",2018-12-06 22:10:27,,None,441,381,-0.5
1070802679151161345,RT @brhodes: This. One principle we should be able to agree on is Republicans shouldn’t pick Democratic leaders. https://t.co/j91nHFcRMl,2018-12-06 22:10:27,"Lake Charles, LA",None,1021,2085,0.5
1070802679306309633,RT @Crossbearer1956: DAG Rod Rosenstein Trolls President Trump at DOJ Conference #FireRosenstein https://t.co/weMU0qzKkO,2018-12-06 22:10:27,,None,11058,10278,0.0
1070802679528652805,"RT @SirajAHashmi: tucker carlson, welcome to the resistance https://t.co/KJBVDThecT",2018-12-06 22:10:28,"Washington, D.C. 🇺🇸",None,12504,1272,0.8
1070802679910281218,RT @SocialPowerOne1: The Senate GOP Just Confirmed a Trump Aide with No Relevant Experience to Lead America’s Financial Industry Watchdog h…,2018-12-06 22:10:28,"New York, USA",None,101,967,0.06666666666666667
1070802679952236545,RT @crooksandliars: In case you missed the latest bombshell reporting of Trump emoluments and grifting... https://t.co/kdjbMJQ51L,2018-12-06 22:10:28,"Williamstown, KY",None,144,407,0.5
1070802680031801344,RT @waltshaub: This tweet is the ultimate sign of our times. The media grades the man on a curve. https://t.co/0zueLvYLb7,2018-12-06 22:10:28,"Salt Lake City, UT",None,894,1197,0.0
1070802679901888513,"@GetFlexSeal NEWEST ADDITION TO THE FLEX SEAL FAMILY OF PRODUCTS:

MEX SEAL -Trump Approved

Sprays on walls, and s… https://t.co/b763EZtxK4",2018-12-06 22:10:28,The Island,None,40,80,0.0
1070802680388509696,RT @AaronBlake: IMPORTANT: William Barr in Nov. 2017 told NYT there was more basis to investigate the Clinton-Uranium One deal than whether…,2018-12-06 22:10:28,"Washington, DC",None,734,4712,0.45
1070802681088917504,RT @kurteichenwald: It is amazing that self-proclaimed “Tariff Man” Trump -who uses the Non-conservative trade war as basis of trade policy…,2018-12-06 22:10:28,,None,100,256,0.6000000000000001
1070802680988061696,"RT @realDonaldTrump: Just landed - will see everyone in Southport, Indiana shortly! #MAGARally🇺🇸 https://t.co/zmapQS70CG",2018-12-06 22:10:28,"California, USA",None,698,4997,0.0
1070802681629945856,RT @SRuhle: Spoken like a true bankruptcy king https://t.co/ue25O7d619,2018-12-06 22:10:28,Texas,None,99,405,0.35
1070802681898225664,RT @marclacey: Scoop: an undocumented immigrant from Guatemala has been making President Trump’s bed. https://t.co/J2Df26KJ1H,2018-12-06 22:10:28,,None,4,55,0.0
1070802681810378757,RT @Rosie: yes - this is how its done ... https://t.co/yd12TJ2DLO,2018-12-06 22:10:28,"Wisconsin, USA",None,444,73,0.0
